rental_id,inventory_id,rental_date,return_date,game_id,customer_id,staff_id,price,fine
37,371,2021-01-14,2021-01-23,7,312,1,12.17,2.43
38,450,2021-01-14,2021-01-21,4,560,1,11.35,0.0
39,324,2021-01-14,2021-01-20,26,314,1,23.33,0.0
40,89,2021-01-14,2021-02-12,27,487,1,5.0,11.0
41,19,2021-01-14,2021-01-17,27,132,1,5.0,0.0
42,100,2021-01-14,2021-01-16,32,487,1,7.71,0.0
43,136,2021-01-14,2021-01-25,10,440,1,17.99,7.2
44,44,2021-01-14,2021-01-17,5,456,1,9.33,0.0
45,162,2021-01-14,2021-01-25,2,560,1,4.33,1.73
46,332,2021-01-14,2021-01-21,22,560,1,14.6,0.0
47,237,2021-01-14,2021-01-25,4,245,1,11.35,4.54
48,364,2021-01-14,2021-01-23,19,196,1,13.33,2.67
49,400,2021-01-14,2021-01-14,7,538,1,12.17,0.0
50,69,2021-01-14,2021-01-16,5,499,1,9.33,0.0
51,468,2021-01-14,2021-01-19,29,587,1,19.27,0.0
52,355,2021-01-14,2021-01-26,1,499,1,10.97,5.48
53,224,2021-01-14,2021-01-14,27,456,1,5.0,0.0
54,258,2021-01-14,2021-01-27,32,47,1,7.71,4.63
55,7,2021-01-14,2021-01-19,5,587,1,9.33,0.0
56,449,2021-01-14,2021-01-20,3,263,1,10.58,0.0
57,408,2021-01-14,2021-01-21,13,184,1,31.93,0.0
58,358,2021-01-14,2021-01-17,19,571,1,13.33,0.0
59,221,2021-01-14,2021-01-14,13,487,1,31.93,0.0
60,215,2021-01-15,2021-01-20,22,555,1,14.6,0.0
61,473,2021-01-15,2021-01-20,24,108,1,12.58,0.0
62,228,2021-01-15,2021-04-18,13,108,1,31.93,0.0
63,360,2021-01-15,2021-01-15,28,312,1,8.67,0.0
64,222,2021-01-15,2021-01-23,29,555,1,19.27,1.93
65,294,2021-01-15,2021-01-30,29,263,1,19.27,15.42
66,376,2021-01-15,2021-01-18,26,538,1,23.33,0.0
67,398,2021-01-15,2021-01-18,44,245,1,5.33,0.0
68,422,2021-01-15,2021-01-19,20,563,1,7.53,0.0
69,412,2021-01-15,2021-02-25,32,245,1,7.71,2.31
70,269,2021-01-15,2021-01-15,6,362,1,7.95,0.0
71,198,2021-01-15,2021-01-22,21,538,1,43.33,0.0
72,244,2021-01-15,2021-01-16,9,281,1,27.33,0.0
73,283,2021-01-15,2021-01-15,20,132,1,7.53,0.0
74,390,2021-01-15,2021-01-15,43,593,1,3.78,0.0
75,381,2021-01-15,2021-01-21,27,594,1,5.0,0.0
76,251,2021-01-15,2021-01-26,6,281,1,7.95,3.18
77,256,2021-01-15,2021-02-11,38,285,1,15.99,31.98
78,153,2021-01-15,2021-01-17,25,587,1,3.77,0.0
79,266,2021-01-15,2021-01-23,35,2,1,10.84,1.08
80,21,2021-01-15,2021-01-21,27,456,1,5.0,0.0
81,161,2021-01-15,2021-01-17,46,362,1,1.71,0.0
82,8,2021-01-15,2021-01-21,19,587,1,13.33,0.0
83,202,2021-01-15,2021-01-24,13,106,1,31.93,6.39
84,303,2021-01-15,2021-03-14,29,266,1,19.27,38.54
85,1,2021-01-15,2021-01-17,27,571,1,5.0,0.0
86,29,2021-01-15,2021-01-23,42,560,1,8.0,0.8
87,87,2021-01-15,2021-01-22,13,560,1,31.93,0.0
88,85,2021-01-15,2021-01-15,13,263,1,31.93,0.0
89,66,2021-01-15,2021-01-15,13,241,1,31.93,0.0
90,458,2021-01-15,2021-01-17,4,266,1,11.35,0.0
91,91,2021-01-15,2021-01-15,39,2,1,2.47,0.0
92,327,2021-01-15,2021-01-17,44,316,1,5.33,0.0
93,109,2021-01-15,2021-01-27,22,594,1,14.6,7.3
94,354,2021-01-15,2021-01-18,4,183,1,11.35,0.0
95,437,2021-01-15,2021-01-23,13,362,1,31.93,3.19
96,307,2021-01-15,2021-01-28,13,334,1,31.93,19.16
97,43,2021-01-15,2021-02-25,22,245,1,14.6,4.38
98,112,2021-01-15,2021-01-22,13,587,1,31.93,0.0
99,46,2021-01-15,2021-01-15,5,362,1,9.33,0.0
100,499,2021-01-16,2021-01-20,43,560,1,3.78,0.0
101,188,2021-01-16,2021-01-16,4,342,1,11.35,0.0
102,419,2021-01-16,2021-01-23,29,342,1,19.27,0.0
103,366,2021-01-16,2021-01-29,22,106,1,14.6,8.76
104,14,2021-01-16,2021-01-16,13,316,1,31.93,0.0
105,229,2021-01-16,2021-01-27,33,560,1,10.6,4.24
106,82,2021-01-16,2021-01-21,44,452,1,5.33,0.0
107,260,2021-01-16,2021-01-18,3,196,1,10.58,0.0
108,281,2021-01-16,2021-03-14,13,316,1,31.93,60.67
109,368,2021-01-16,2021-01-24,36,106,1,12.35,1.24
110,176,2021-01-16,2021-02-28,1,487,1,10.97,5.48
111,382,2021-01-16,2021-02-02,4,132,1,11.35,11.35
112,409,2021-01-16,2021-01-16,22,266,1,14.6,0.0
113,471,2021-01-16,2021-01-19,9,499,1,27.33,0.0
114,254,2021-01-16,2021-01-21,27,132,1,5.0,0.0
115,70,2021-01-16,2021-01-22,32,587,1,7.71,0.0
116,393,2021-01-16,2021-01-16,5,263,1,9.33,0.0
117,275,2021-01-16,2021-01-16,29,245,1,19.27,0.0
118,211,2021-01-16,2021-03-13,40,220,1,6.87,12.37
119,441,2021-01-16,2021-01-25,13,183,1,31.93,6.39
120,174,2021-01-16,2021-01-16,7,456,1,12.17,0.0
121,344,2021-01-16,2021-01-25,8,312,1,11.99,2.4
122,432,2021-01-16,2021-01-19,24,526,1,12.58,0.0
123,373,2021-01-16,2021-01-16,19,526,1,13.33,0.0
124,420,2021-01-16,2021-01-16,46,316,1,1.71,0.0
125,345,2021-01-16,2021-01-27,22,362,1,14.6,5.84
126,309,2021-01-16,2021-01-22,42,47,1,8.0,0.0
127,31,2021-01-16,2021-01-25,15,312,1,2.83,0.57
128,302,2021-01-16,2021-01-22,10,535,1,17.99,0.0
129,353,2021-01-16,2021-01-16,7,352,1,12.17,0.0
130,500,2021-01-17,2021-01-20,40,176,1,6.87,0.0
131,496,2021-01-17,2021-01-20,37,452,1,3.1,0.0
132,36,2021-01-17,2021-01-27,4,440,1,11.35,3.4
133,265,2021-01-17,2021-01-23,1,352,1,10.97,0.0
134,404,2021-01-17,2021-01-28,36,241,1,12.35,4.94
135,264,2021-01-17,2021-01-18,5,560,1,9.33,0.0
136,35,2021-01-17,2021-02-05,27,352,1,5.0,6.0
137,335,2021-01-17,2021-01-23,1,593,1,10.97,0.0
138,245,2021-01-17,2021-01-24,2,70,1,4.33,0.0
139,340,2021-01-17,2021-01-17,39,176,1,2.47,0.0
140,403,2021-01-17,2021-01-24,40,400,1,6.87,0.0
141,240,2021-01-17,2021-01-25,35,314,1,10.84,1.08
142,363,2021-01-17,2021-01-20,13,106,1,31.93,0.0
143,232,2021-01-17,2021-01-17,22,598,1,14.6,0.0
144,214,2021-01-17,2021-01-24,10,281,1,17.99,0.0
145,53,2021-01-17,2021-01-17,24,266,1,12.58,0.0
146,218,2021-01-17,2021-01-25,1,598,1,10.97,1.1
147,334,2021-01-17,2021-01-17,32,312,1,7.71,0.0
148,386,2021-01-17,2021-01-29,27,499,1,5.0,2.5
149,115,2021-01-17,2021-01-25,32,487,1,7.71,0.77
150,411,2021-01-17,2021-01-23,24,281,1,12.58,0.0
151,163,2021-01-17,2021-01-17,22,593,1,14.6,0.0
152,99,2021-01-17,2021-01-17,6,487,1,7.95,0.0
153,138,2021-01-17,2021-01-28,34,452,1,1.87,0.75
154,96,2021-01-17,2021-01-29,4,70,1,11.35,5.68
155,284,2021-01-17,2021-01-19,32,598,1,7.71,0.0
156,102,2021-01-17,2021-02-01,10,352,1,17.99,14.39
157,417,2021-01-17,2021-02-01,39,526,1,2.47,1.98
158,428,2021-01-17,2021-01-25,13,106,1,31.93,3.19
159,141,2021-01-17,2021-01-17,1,518,1,10.97,0.0
160,128,2021-01-17,2021-01-20,9,483,1,27.33,0.0
161,108,2021-01-17,2021-01-17,22,400,1,14.6,0.0
162,129,2021-01-17,2021-01-29,26,106,1,23.33,11.66
163,484,2021-01-17,2021-01-20,27,106,1,5.0,0.0
164,385,2021-01-17,2021-01-19,36,456,1,12.35,0.0
165,119,2021-01-17,2021-01-21,10,342,1,17.99,0.0
166,483,2021-01-17,2021-01-18,13,587,1,31.93,0.0
167,277,2021-01-17,2021-02-05,22,263,1,14.6,17.52
168,380,2021-01-17,2021-01-18,13,593,1,31.93,0.0
169,356,2021-01-18,2021-01-18,46,2,1,1.71,0.0
170,474,2021-01-18,2021-02-02,42,334,1,8.0,6.4
171,13,2021-01-18,2021-01-28,27,176,1,5.0,1.5
172,395,2021-01-18,2021-01-30,22,538,1,14.6,7.3
173,306,2021-01-18,2021-03-30,6,526,1,7.95,3.98
174,9,2021-01-18,2021-01-18,7,593,1,12.17,0.0
175,397,2021-01-18,2021-02-07,27,400,1,5.0,6.5
176,339,2021-01-18,2021-01-28,36,594,1,12.35,3.71
177,495,2021-01-18,2021-01-19,27,47,1,5.0,0.0
178,67,2021-01-18,2021-01-26,38,220,1,15.99,1.6
179,300,2021-01-18,2021-01-18,1,593,1,10.97,0.0
180,73,2021-01-18,2021-01-18,32,560,1,7.71,0.0
181,183,2021-01-18,2021-01-30,32,400,1,7.71,3.86
182,456,2021-01-18,2021-01-27,26,106,1,23.33,4.67
183,263,2021-01-18,2021-01-18,10,263,1,17.99,0.0
184,95,2021-01-18,2021-01-22,14,108,1,11.27,0.0
185,387,2021-01-18,2021-01-20,19,47,1,13.33,0.0
186,477,2021-01-18,2021-01-23,22,499,1,14.6,0.0
187,145,2021-01-18,2021-01-18,29,456,1,19.27,0.0
188,178,2021-01-18,2021-05-01,22,440,1,14.6,8.76
189,153,2021-01-18,2021-01-23,25,316,1,3.77,0.0
190,15,2021-01-18,2021-01-25,22,400,1,14.6,0.0
191,279,2021-01-18,2021-01-24,26,352,1,23.33,0.0
192,467,2021-01-19,2021-02-04,3,362,1,10.58,9.52
193,235,2021-01-19,2021-01-28,46,318,1,1.71,0.34
194,299,2021-01-19,2021-01-21,5,281,1,9.33,0.0
195,125,2021-01-19,2021-01-25,18,587,1,4.17,0.0
196,59,2021-01-19,2021-01-25,27,220,1,5.0,0.0
197,169,2021-01-19,2021-01-31,1,571,1,10.97,5.48
198,493,2021-01-19,2021-01-28,10,334,1,17.99,3.6
199,304,2021-01-19,2021-01-22,36,352,1,12.35,0.0
200,156,2021-01-19,2021-01-27,42,362,1,8.0,0.8
201,415,2021-01-19,2021-01-24,6,487,1,7.95,0.0
202,331,2021-01-19,2021-01-25,13,2,1,31.93,0.0
203,330,2021-01-19,2021-01-22,13,440,1,31.93,0.0
204,219,2021-01-19,2021-01-30,33,457,1,10.6,4.24
205,361,2021-01-19,2021-01-24,6,176,1,7.95,0.0
206,394,2021-01-19,2021-01-25,9,563,1,27.33,0.0
207,92,2021-01-19,2021-01-25,39,342,1,2.47,0.0
208,94,2021-01-19,2021-01-22,4,538,1,11.35,0.0
209,147,2021-01-19,2021-01-20,37,538,1,3.1,0.0
210,186,2021-01-19,2021-03-28,27,108,1,5.0,1.0
211,444,2021-01-19,2021-01-19,36,526,1,12.35,0.0
212,314,2021-01-19,2021-01-27,37,452,1,3.1,0.31
213,367,2021-01-19,2021-01-21,33,422,1,10.6,0.0
214,365,2021-01-19,2021-01-25,32,183,1,7.71,0.0
215,461,2021-01-19,2021-01-20,25,388,1,3.77,0.0
216,16,2021-01-19,2021-01-23,44,316,1,5.33,0.0
217,177,2021-01-19,2021-01-19,39,352,1,2.47,0.0
218,248,2021-01-19,2021-01-21,13,526,1,31.93,0.0
219,143,2021-01-19,2021-01-19,36,408,1,12.35,0.0
220,81,2021-01-19,2021-01-20,36,318,1,12.35,0.0
221,144,2021-01-19,2021-01-19,29,368,1,19.27,0.0
222,193,2021-01-19,2021-01-21,32,176,1,7.71,0.0
223,236,2021-01-20,2021-01-20,32,334,2,7.71,0.0
224,351,2021-01-20,2021-01-21,40,440,2,6.87,0.0
225,290,2021-01-20,2021-01-20,46,184,2,1.71,0.0
226,239,2021-01-20,2021-01-23,36,388,2,12.35,0.0
227,459,2021-01-20,2021-02-01,6,594,2,7.95,3.98
228,247,2021-01-20,2021-01-24,13,334,2,31.93,0.0
229,271,2021-01-20,2021-01-24,44,266,2,5.33,0.0
230,207,2021-01-20,2021-01-24,13,108,2,31.93,0.0
231,49,2021-01-20,2021-01-22,4,184,2,11.35,0.0
232,78,2021-01-20,2021-01-25,6,224,2,7.95,0.0
233,196,2021-01-20,2021-01-27,13,132,2,31.93,0.0
234,201,2021-01-20,2021-01-23,32,184,2,7.71,0.0
235,203,2021-01-20,2021-01-25,22,499,2,14.6,0.0
236,41,2021-01-20,2021-01-20,23,106,2,1.7,0.0
237,195,2021-01-20,2021-01-26,35,176,2,10.84,0.0
238,120,2021-01-20,2021-01-20,43,571,2,3.78,0.0
239,195,2021-01-20,2021-01-20,35,334,2,10.84,0.0
240,439,2021-01-20,2021-01-30,50,154,2,8.88,2.66
241,84,2021-01-20,2021-01-22,40,452,2,6.87,0.0
242,194,2021-01-20,2021-01-30,32,281,2,7.71,2.31
243,146,2021-01-20,2021-01-20,1,2,2,10.97,0.0
244,479,2021-01-20,2021-02-07,4,220,2,11.35,12.49
245,407,2021-01-20,2021-02-05,13,203,2,31.93,28.74
246,443,2021-01-20,2021-01-24,44,176,2,5.33,0.0
247,166,2021-01-20,2021-02-02,13,108,2,31.93,19.16
248,460,2021-01-21,2021-01-21,39,587,1,2.47,0.0
249,111,2021-01-21,2021-01-21,32,47,2,7.71,0.0
250,106,2021-01-21,2021-01-25,6,224,1,7.95,0.0
251,312,2021-01-21,2021-02-02,1,108,2,10.97,5.48
252,104,2021-01-21,2021-04-12,30,70,2,18.52,27.78
253,18,2021-01-21,2021-01-21,35,555,2,10.84,0.0
254,292,2021-01-21,2021-01-27,31,220,2,8.0,0.0
255,3,2021-01-21,2021-03-10,28,263,2,8.67,8.67
256,410,2021-01-21,2021-02-09,27,154,2,5.0,6.0
257,476,2021-01-21,2021-01-24,25,318,2,3.77,0.0
258,478,2021-01-21,2021-03-15,32,47,1,7.71,11.56
259,168,2021-01-21,2021-01-25,39,571,1,2.47,0.0
260,131,2021-01-21,2021-01-21,13,555,2,31.93,0.0
261,23,2021-01-21,2021-01-26,48,456,2,12.0,0.0
262,20,2021-01-21,2021-01-23,5,593,2,9.33,0.0
263,413,2021-01-21,2021-01-23,13,203,2,31.93,0.0
264,462,2021-01-21,2021-01-21,22,440,1,14.6,0.0
265,142,2021-01-21,2021-01-22,13,220,2,31.93,0.0
266,22,2021-01-21,2021-01-21,9,196,1,27.33,0.0
267,21,2021-01-21,2021-02-03,27,483,1,5.0,3.0
268,122,2021-01-21,2021-01-29,24,571,2,12.58,1.26
269,184,2021-01-21,2021-01-21,35,106,2,10.84,0.0
270,103,2021-01-21,2021-01-30,43,184,2,3.78,0.76
271,160,2021-01-21,2021-02-13,4,304,1,11.35,18.16
272,50,2021-01-21,2021-01-22,36,560,2,12.35,0.0
273,217,2021-01-21,2021-01-23,10,571,1,17.99,0.0
274,56,2021-01-21,2021-01-28,33,563,2,10.6,0.0
275,453,2021-01-21,2021-02-03,29,352,1,19.27,11.56
276,62,2021-01-21,2021-03-02,32,487,2,7.71,1.54
277,347,2021-01-21,2021-01-21,13,70,2,31.93,0.0
278,343,2021-01-21,2021-01-26,28,196,2,8.67,0.0
279,234,2021-01-21,2021-01-21,44,108,2,5.33,0.0
280,185,2021-01-21,2021-01-30,36,241,1,12.35,2.47
281,205,2021-01-21,2021-01-22,1,184,2,10.97,0.0
282,74,2021-01-21,2021-01-23,24,318,2,12.58,0.0
283,455,2021-01-21,2021-01-26,22,368,2,14.6,0.0
284,4,2021-01-21,2021-01-24,22,342,1,14.6,0.0
285,242,2021-01-21,2021-01-26,4,563,2,11.35,0.0
286,489,2021-01-21,2021-01-27,23,184,1,1.7,0.0
287,90,2021-01-21,2021-02-06,29,108,1,19.27,17.34
288,88,2021-01-21,2021-01-25,40,526,1,6.87,0.0
289,369,2021-01-22,2021-02-04,39,281,1,2.47,1.48
290,429,2021-01-22,2021-01-25,13,571,1,31.93,0.0
291,278,2021-01-22,2021-02-01,4,456,2,11.35,3.4
292,38,2021-01-22,2021-01-28,19,452,1,13.33,0.0
293,430,2021-01-22,2021-01-28,13,196,1,31.93,0.0
294,309,2021-01-22,2021-01-27,42,106,2,8.0,0.0
295,61,2021-01-22,2021-02-02,26,555,2,23.33,9.33
296,40,2021-01-22,2021-02-02,39,555,1,2.47,0.99
297,63,2021-01-22,2021-03-13,4,555,1,11.35,13.62
298,349,2021-01-22,2021-01-31,7,316,2,12.17,2.43
299,305,2021-01-22,2021-02-03,4,368,1,11.35,5.68
300,286,2021-01-22,2021-01-29,13,245,1,31.93,0.0
301,114,2021-01-22,2021-02-02,7,245,1,12.17,4.87
302,42,2021-01-22,2021-02-03,13,106,2,31.93,15.96
303,338,2021-01-22,2021-02-03,1,154,1,10.97,5.48
304,433,2021-01-22,2021-03-21,29,587,2,19.27,38.54
305,48,2021-01-22,2021-02-03,29,183,2,19.27,9.64
306,396,2021-01-22,2021-01-26,4,400,1,11.35,0.0
307,446,2021-01-22,2021-01-23,39,408,2,2.47,0.0
308,244,2021-01-22,2021-01-29,9,266,1,27.33,0.0
309,405,2021-01-22,2021-05-08,1,266,2,10.97,9.87
310,167,2021-01-22,2021-01-22,19,184,2,13.33,0.0
311,173,2021-01-22,2021-01-26,37,342,1,3.1,0.0
312,230,2021-01-22,2021-01-30,7,598,1,12.17,1.22
313,464,2021-01-22,2021-01-27,19,483,2,13.33,0.0
314,171,2021-01-22,2021-01-31,25,352,1,3.77,0.75
315,414,2021-01-22,2021-01-22,7,499,1,12.17,0.0
316,182,2021-01-22,2021-02-01,5,499,1,9.33,2.8
317,30,2021-01-22,2021-01-25,36,108,1,12.35,0.0
318,475,2021-01-23,2021-01-23,19,245,2,13.33,0.0
319,17,2021-01-23,2021-01-23,1,440,1,10.97,0.0
320,466,2021-01-23,2021-01-23,35,154,2,10.84,0.0
321,105,2021-01-23,2021-01-23,29,154,1,19.27,0.0
322,362,2021-01-23,2021-01-24,36,154,2,12.35,0.0
323,25,2021-01-23,2021-01-25,33,452,1,10.6,0.0
324,457,2021-01-23,2021-02-02,22,132,1,14.6,4.38
325,352,2021-01-23,2021-01-25,48,281,1,12.0,0.0
326,346,2021-01-23,2021-01-30,27,312,1,5.0,0.0
327,243,2021-01-23,2021-01-30,32,352,1,7.71,0.0
328,389,2021-01-23,2021-01-28,1,285,1,10.97,0.0
329,107,2021-01-23,2021-01-27,40,422,2,6.87,0.0
330,223,2021-01-23,2021-01-29,22,318,2,14.6,0.0
331,216,2021-01-23,2021-01-25,43,304,1,3.78,0.0
332,438,2021-01-23,2021-02-04,25,422,1,3.77,1.88
333,469,2021-01-23,2021-01-29,22,560,2,14.6,0.0
334,199,2021-01-23,2021-01-29,39,70,1,2.47,0.0
335,378,2021-01-23,2021-01-28,33,594,2,10.6,0.0
336,231,2021-01-23,2021-01-30,32,342,2,7.71,0.0
337,220,2021-01-23,2021-01-26,13,538,2,31.93,0.0
338,273,2021-01-23,2021-01-23,13,334,2,31.93,0.0
339,490,2021-01-23,2021-01-26,22,132,1,14.6,0.0
340,137,2021-01-23,2021-01-23,27,587,2,5.0,0.0
341,482,2021-01-23,2021-01-23,13,281,2,31.93,0.0
342,65,2021-01-23,2021-01-30,9,224,1,27.33,0.0
343,58,2021-01-23,2021-01-26,33,154,1,10.6,0.0
344,19,2021-01-23,2021-01-23,27,594,2,5.0,0.0
345,83,2021-01-23,2021-01-29,46,176,2,1.71,0.0
346,463,2021-01-24,2021-01-24,13,456,1,31.93,0.0
347,72,2021-01-24,2021-01-25,27,70,1,5.0,0.0
348,454,2021-01-24,2021-02-01,13,106,1,31.93,3.19
349,101,2021-01-24,2021-01-26,44,428,1,5.33,0.0
350,452,2021-01-24,2021-01-24,3,400,1,10.58,0.0
351,10,2021-01-24,2021-01-28,4,535,1,11.35,0.0
352,80,2021-01-24,2021-02-09,42,518,1,8.0,7.2
353,93,2021-01-24,2021-01-30,32,241,1,7.71,0.0
354,238,2021-01-24,2021-01-29,21,598,1,43.33,0.0
355,2,2021-01-24,2021-01-24,40,598,1,6.87,0.0
356,241,2021-01-24,2021-01-29,22,241,1,14.6,0.0
357,98,2021-01-24,2021-01-24,49,312,1,7.71,0.0
358,313,2021-01-24,2021-01-27,13,526,1,31.93,0.0
359,210,2021-01-24,2021-02-13,27,452,1,5.0,6.5
360,181,2021-01-24,2021-01-31,13,428,1,31.93,0.0
361,165,2021-01-24,2021-05-22,13,70,1,31.93,67.05
362,146,2021-01-24,2021-02-02,1,342,1,10.97,2.19
363,150,2021-01-24,2021-01-30,36,176,1,12.35,0.0
364,132,2021-01-24,2021-01-25,22,422,1,14.6,0.0
365,486,2021-01-24,2021-02-06,36,304,1,12.35,7.41
366,152,2021-01-24,2021-01-24,39,598,1,2.47,0.0
367,52,2021-01-24,2021-02-03,13,388,1,31.93,9.58
368,399,2021-01-24,2021-03-06,32,563,1,7.71,2.31
369,350,2021-01-24,2021-02-02,13,315,1,31.93,6.39
370,301,2021-01-24,2021-01-28,14,563,1,11.27,0.0
371,426,2021-01-24,2021-01-24,22,560,1,14.6,0.0
372,113,2021-01-24,2021-02-22,32,538,1,7.71,16.96
373,259,2021-01-24,2021-01-24,46,176,1,1.71,0.0
374,155,2021-01-24,2021-05-09,19,400,1,13.33,10.66
375,180,2021-01-24,2021-01-29,36,220,1,12.35,0.0
376,310,2021-01-24,2021-02-01,6,487,1,7.95,0.8
377,154,2021-01-24,2021-02-04,26,314,1,23.33,9.33
378,179,2021-01-24,2021-01-26,10,388,1,17.99,0.0
379,140,2021-01-24,2021-01-28,2,362,1,4.33,0.0
380,264,2021-01-25,2021-01-25,5,108,1,9.33,0.0
381,125,2021-01-25,2021-01-25,18,334,1,4.17,0.0
382,68,2021-01-25,2021-02-17,38,352,2,15.99,25.58
383,269,2021-01-25,2021-03-15,6,440,1,7.95,8.75
384,359,2021-01-26,2021-02-26,30,281,1,18.52,0.0
385,75,2021-01-26,2021-01-26,26,352,1,23.33,0.0
386,127,2021-01-26,2021-02-04,50,598,2,8.88,1.78
387,455,2021-01-26,2021-01-26,22,408,2,14.6,0.0
388,221,2021-01-26,2021-01-28,13,368,2,31.93,0.0
389,126,2021-01-26,2021-01-27,27,196,1,5.0,0.0
390,472,2021-01-26,2021-01-28,19,440,2,13.33,0.0
391,250,2021-01-26,2021-01-26,39,422,2,2.47,0.0
392,32,2021-01-26,2021-02-01,4,132,1,11.35,0.0
393,317,2021-01-26,2021-01-26,4,281,1,11.35,0.0
394,66,2021-01-27,2021-02-05,13,483,2,31.93,6.39
395,6,2021-01-27,2022-04-17,13,422,2,31.93,44.7
396,360,2021-01-27,2021-02-02,28,593,1,8.67,0.0
397,208,2021-01-27,2021-02-02,38,526,1,15.99,0.0
398,384,2021-01-27,2021-02-08,7,6,2,12.17,6.08
399,283,2021-01-27,2021-02-06,20,456,1,7.53,2.26
400,197,2021-01-27,2021-01-30,1,352,1,10.97,0.0
401,91,2021-01-27,2021-01-27,39,555,1,2.47,0.0
402,272,2021-01-27,2021-02-24,29,132,2,19.27,40.47
403,192,2021-01-27,2021-01-30,5,428,2,9.33,0.0
404,318,2021-01-27,2021-02-02,42,183,2,8.0,0.0
405,373,2021-01-27,2021-01-27,19,196,1,13.33,0.0
406,261,2021-01-27,2021-01-30,22,555,1,14.6,0.0
407,343,2021-01-27,2021-02-02,28,362,2,8.67,0.0
408,172,2021-01-27,2021-02-01,27,263,1,5.0,0.0
409,268,2021-01-27,2021-01-27,13,132,1,31.93,0.0
410,220,2021-01-28,2021-01-29,13,48,2,31.93,0.0
411,135,2021-01-28,2021-01-29,10,456,2,17.99,0.0
412,174,2021-01-28,2021-01-28,7,569,2,12.17,0.0
413,300,2021-01-28,2021-01-30,1,593,2,10.97,0.0
414,116,2021-01-28,2021-01-28,1,70,2,10.97,0.0
415,326,2021-01-28,2021-02-09,4,132,2,11.35,5.68
416,336,2021-01-28,2021-02-06,13,582,2,31.93,6.39
417,200,2021-01-28,2021-02-04,16,593,2,6.67,0.0
418,295,2021-01-28,2021-01-30,26,314,2,23.33,0.0
419,498,2021-01-28,2021-01-28,26,315,2,23.33,0.0
420,494,2021-01-28,2021-01-28,9,154,2,27.33,0.0
421,421,2021-01-28,2021-01-28,5,518,2,9.33,0.0
422,419,2021-01-28,2021-02-05,29,408,2,19.27,1.93
423,374,2021-01-28,2021-02-10,5,571,2,9.33,5.6
424,448,2021-01-28,2021-02-05,13,334,2,31.93,3.19
425,390,2021-01-28,2021-01-28,43,334,2,3.78,0.0
426,379,2021-01-29,2021-01-29,7,352,2,12.17,0.0
427,342,2021-01-29,2021-02-04,1,285,1,10.97,0.0
428,162,2021-01-29,2021-01-29,2,220,2,4.33,0.0
429,86,2021-01-29,2021-02-07,13,12,2,31.93,6.39
430,491,2021-01-29,2021-01-29,10,428,2,17.99,0.0
431,46,2021-01-29,2021-01-29,5,440,1,9.33,0.0
432,490,2021-01-29,2021-02-08,22,315,2,14.6,4.38
433,323,2021-01-29,2021-02-01,44,362,2,5.33,0.0
434,275,2021-01-29,2021-02-08,29,342,2,19.27,5.78
435,235,2021-01-30,2021-01-30,46,456,2,1.71,0.0
