,date,staff_ids
75,2021-03-20,[2]
76,2021-03-21,[1]
77,2021-03-22,[2]
78,2021-03-23,[2]
79,2021-03-24,[1]
80,2021-03-25,[2]
81,2021-03-26,[1]
82,2021-03-27,"[2, 1]"
83,2021-03-28,[1]
84,2021-03-29,"[1, 2]"
85,2021-03-30,[2]
86,2021-03-31,"[2, 1]"
87,2021-04-01,"[1, 2]"
88,2021-04-02,"[2, 1]"
89,2021-04-03,"[2, 1]"
90,2021-04-04,[1]
91,2021-04-05,[1]
92,2021-04-06,"[1, 2]"
93,2021-04-07,"[2, 1]"
94,2021-04-08,[3]
95,2021-04-09,"[3, 1]"
96,2021-04-10,[1]
97,2021-04-11,[1]
98,2021-04-12,[3]
99,2021-04-13,"[2, 3]"
100,2021-04-14,[1]
101,2021-04-15,"[1, 3]"
102,2021-04-16,[2]
103,2021-04-17,[2]
104,2021-04-18,[1]
105,2021-04-19,"[1, 3]"
106,2021-04-20,[1]
107,2021-04-21,[1]
108,2021-04-22,[3]
109,2021-04-23,[2]
110,2021-04-24,[3]
111,2021-04-25,[1]
112,2021-04-26,[2]
113,2021-04-27,"[2, 3]"
114,2021-04-28,[3]
115,2021-04-29,"[1, 2]"
116,2021-04-30,[1]
117,2021-05-01,"[1, 3]"
118,2021-05-02,[1]
119,2021-05-03,"[2, 3]"
120,2021-05-04,"[3, 1]"
121,2021-05-05,[1]
122,2021-05-06,"[2, 3]"
123,2021-05-07,"[1, 3]"
124,2021-05-08,[1]
125,2021-05-09,[1]
126,2021-05-10,"[2, 1]"
127,2021-05-11,[1]
128,2021-05-12,[1]
129,2021-05-13,"[3, 2]"
130,2021-05-14,[1]
131,2021-05-15,"[2, 3]"
132,2021-05-16,[1]
133,2021-05-17,"[2, 1]"
134,2021-05-18,"[3, 1]"
135,2021-05-19,[3]
136,2021-05-20,[3]
137,2021-05-21,[1]
138,2021-05-22,[3]
139,2021-05-23,[1]
140,2021-05-24,[3]
141,2021-05-25,"[3, 2]"
142,2021-05-26,"[1, 2]"
143,2021-05-27,[1]
144,2021-05-28,"[3, 2]"
145,2021-05-29,"[1, 3]"
146,2021-05-30,[1]
147,2021-05-31,[3]
148,2021-06-01,[2]
149,2021-06-02,"[1, 3]"
150,2021-06-03,[2]
151,2021-06-04,"[3, 1]"
152,2021-06-05,[3]
153,2021-06-06,[1]
154,2021-06-07,"[2, 1]"
155,2021-06-08,"[3, 2]"
156,2021-06-09,[3]
157,2021-06-10,[2]
158,2021-06-11,[2]
159,2021-06-12,[2]
160,2021-06-13,[1]
161,2021-06-14,"[3, 1]"
162,2021-06-15,"[1, 2]"
163,2021-06-16,[3]
164,2021-06-17,"[1, 3]"
165,2021-06-18,"[3, 2]"
166,2021-06-19,[3]
167,2021-06-20,[1]
168,2021-06-21,"[2, 3]"
169,2021-06-22,"[1, 2]"
170,2021-06-23,"[2, 3]"
171,2021-06-24,[3]
172,2021-06-25,[2]
173,2021-06-26,"[3, 2]"
174,2021-06-27,[1]
175,2021-06-28,"[1, 2]"
176,2021-06-29,[3]
177,2021-06-30,[1]
178,2021-07-01,"[1, 3]"
179,2021-07-02,"[3, 2]"
180,2021-07-03,[2]
181,2021-07-04,[1]
182,2021-07-05,"[1, 3]"
183,2021-07-06,"[1, 2]"
184,2021-07-07,"[3, 1]"
185,2021-07-08,"[2, 1]"
186,2021-07-09,[3]
187,2021-07-10,"[2, 3]"
188,2021-07-11,[1]
189,2021-07-12,[3]
190,2021-07-13,[2]
191,2021-07-14,[1]
192,2021-07-15,[1]
193,2021-07-16,"[2, 1]"
194,2021-07-17,"[1, 3]"
195,2021-07-18,[1]
196,2021-07-19,[2]
197,2021-07-20,[3]
198,2021-07-21,"[2, 3]"
199,2021-07-22,[2]
200,2021-07-23,[1]
201,2021-07-24,"[3, 2]"
202,2021-07-25,[1]
203,2021-07-26,[1]
204,2021-07-27,[3]
205,2021-07-28,"[1, 2]"
206,2021-07-29,[1]
207,2021-07-30,"[2, 1]"
208,2021-07-31,[3]
209,2021-08-01,[1]
210,2021-08-02,[3]
211,2021-08-03,"[1, 3]"
212,2021-08-04,"[1, 3]"
213,2021-08-05,[2]
214,2021-08-06,"[1, 2]"
215,2021-08-07,"[1, 3]"
216,2021-08-08,[1]
217,2021-08-09,[2]
218,2021-08-10,"[2, 3]"
219,2021-08-11,"[3, 2]"
220,2021-08-12,[1]
221,2021-08-13,[3]
222,2021-08-14,[2]
223,2021-08-15,[1]
224,2021-08-16,[1]
225,2021-08-17,[1]
226,2021-08-18,"[1, 3]"
227,2021-08-19,[1]
228,2021-08-20,"[1, 3]"
229,2021-08-21,[1]
230,2021-08-22,[1]
231,2021-08-23,"[3, 1]"
232,2021-08-24,"[1, 2]"
233,2021-08-25,"[2, 3]"
234,2021-08-26,"[3, 1]"
235,2021-08-27,"[1, 2]"
236,2021-08-28,[3]
237,2021-08-29,[1]
238,2021-08-30,"[2, 3]"
239,2021-08-31,"[1, 2]"
240,2021-09-01,[1]
241,2021-09-02,[2]
242,2021-09-03,"[3, 2]"
243,2021-09-04,[1]
244,2021-09-05,[1]
245,2021-09-06,"[1, 3]"
246,2021-09-07,[1]
247,2021-09-08,[2]
248,2021-09-09,[3]
249,2021-09-10,"[2, 1]"
250,2021-09-11,[2]
251,2021-09-12,[1]
252,2021-09-13,[1]
253,2021-09-14,"[3, 2]"
254,2021-09-15,[3]
255,2021-09-16,"[3, 2]"
256,2021-09-17,[2]
257,2021-09-18,"[2, 3]"
258,2021-09-19,[1]
259,2021-09-20,"[3, 1]"
260,2021-09-21,[2]
261,2021-09-22,[3]
262,2021-09-23,"[2, 3]"
263,2021-09-24,"[3, 1]"
264,2021-09-25,[1]
265,2021-09-26,[1]
266,2021-09-27,[1]
267,2021-09-28,[3]
268,2021-09-29,[2]
269,2021-09-30,"[2, 1]"
270,2021-10-01,[1]
271,2021-10-02,"[1, 2]"
272,2021-10-03,[1]
273,2021-10-04,[2]
274,2021-10-05,[3]
275,2021-10-06,[3]
276,2021-10-07,[3]
277,2021-10-08,"[3, 1]"
278,2021-10-09,"[1, 2]"
279,2021-10-10,[1]
280,2021-10-11,"[1, 3]"
281,2021-10-12,[3]
282,2021-10-13,"[3, 1]"
283,2021-10-14,[1]
284,2021-10-15,"[1, 3]"
285,2021-10-16,"[2, 1]"
286,2021-10-17,[1]
287,2021-10-18,"[2, 3]"
288,2021-10-19,[1]
289,2021-10-20,[1]
290,2021-10-21,"[1, 3]"
291,2021-10-22,[2]
292,2021-10-23,"[3, 2]"
293,2021-10-24,[1]
294,2021-10-25,"[3, 2]"
295,2021-10-26,[3]
296,2021-10-27,"[2, 3]"
297,2021-10-28,"[3, 2]"
298,2021-10-29,"[3, 2]"
299,2021-10-30,"[2, 1]"
300,2021-10-31,[1]
301,2021-11-01,"[2, 1]"
302,2021-11-02,[1]
303,2021-11-03,"[1, 2]"
304,2021-11-04,[3]
305,2021-11-05,"[2, 1]"
306,2021-11-06,"[1, 2]"
307,2021-11-07,[1]
308,2021-11-08,[3]
309,2021-11-09,[1]
310,2021-11-10,[3]
311,2021-11-11,"[2, 1]"
312,2021-11-12,[1]
313,2021-11-13,[3]
314,2021-11-14,[1]
315,2021-11-15,[2]
316,2021-11-16,[1]
317,2021-11-17,[2]
318,2021-11-18,[2]
319,2021-11-19,"[3, 1]"
320,2021-11-20,"[1, 2]"
321,2021-11-21,[1]
322,2021-11-22,"[3, 1]"
323,2021-11-23,"[3, 2]"
324,2021-11-24,[3]
325,2021-11-25,"[3, 2]"
326,2021-11-26,[4]
327,2021-11-27,"[3, 4]"
328,2021-11-28,[1]
329,2021-11-29,[4]
330,2021-11-30,"[3, 1, 4]"
331,2021-12-01,[4]
332,2021-12-02,"[4, 2]"
333,2021-12-03,"[4, 3]"
334,2021-12-04,"[3, 1, 2]"
335,2021-12-05,[1]
336,2021-12-06,[4]
337,2021-12-07,"[4, 3]"
338,2021-12-08,"[2, 4]"
339,2021-12-09,"[4, 2, 1]"
340,2021-12-10,"[1, 4]"
341,2021-12-11,"[2, 3, 1]"
342,2021-12-12,[1]
343,2021-12-13,[2]
344,2021-12-14,"[2, 4]"
345,2021-12-15,[4]
346,2021-12-16,"[3, 1]"
347,2021-12-17,"[1, 3]"
348,2021-12-18,"[4, 3, 2]"
349,2021-12-19,[1]
350,2021-12-20,"[2, 3, 1]"
351,2021-12-21,"[1, 2]"
352,2021-12-22,[4]
353,2021-12-23,"[3, 2, 4]"
354,2021-12-24,"[1, 2]"
355,2021-12-25,"[3, 2, 4]"
356,2021-12-26,[1]
357,2021-12-27,[3]
358,2021-12-28,"[1, 3]"
359,2021-12-29,[4]
360,2021-12-30,"[4, 2, 3]"
361,2021-12-31,"[4, 1, 3]"
362,2022-01-01,"[1, 3]"
363,2022-01-02,[1]
364,2022-01-03,[2]
365,2022-01-04,[3]
366,2022-01-05,"[2, 4]"
367,2022-01-06,"[1, 2, 4]"
368,2022-01-07,"[3, 4, 1]"
369,2022-01-08,[1]
370,2022-01-09,[1]
371,2022-01-10,[3]
372,2022-01-11,"[4, 1]"
373,2022-01-12,"[3, 4]"
374,2022-01-13,"[2, 4]"
375,2022-01-14,"[4, 2]"
376,2022-01-15,"[2, 1]"
377,2022-01-16,[1]
378,2022-01-17,"[2, 3]"
379,2022-01-18,"[1, 2, 4]"
380,2022-01-19,[3]
381,2022-01-20,[1]
382,2022-01-21,[4]
383,2022-01-22,"[4, 3]"
384,2022-01-23,[1]
385,2022-01-24,"[2, 3]"
386,2022-01-25,"[3, 2, 1]"
387,2022-01-26,[4]
388,2022-01-27,"[4, 2]"
389,2022-01-28,[3]
390,2022-01-29,[1]
391,2022-01-30,[1]
392,2022-01-31,"[3, 2]"
393,2022-02-01,"[4, 3]"
394,2022-02-02,"[2, 4]"
395,2022-02-03,"[2, 1]"
396,2022-02-04,[2]
397,2022-02-05,[3]
398,2022-02-06,[1]
399,2022-02-07,[5]
400,2022-02-08,"[1, 4]"
401,2022-02-09,[4]
402,2022-02-10,"[5, 1]"
403,2022-02-11,"[1, 3]"
404,2022-02-12,"[2, 5]"
405,2022-02-13,[1]
406,2022-02-14,"[2, 3]"
407,2022-02-15,"[2, 5]"
408,2022-02-16,"[2, 1]"
409,2022-02-17,"[5, 4, 1]"
410,2022-02-18,[4]
411,2022-02-19,[1]
412,2022-02-20,[1]
413,2022-02-21,"[4, 5, 1]"
414,2022-02-22,"[4, 3]"
415,2022-02-23,"[5, 1]"
416,2022-02-24,"[2, 4]"
417,2022-02-25,[3]
418,2022-02-26,[1]
419,2022-02-27,[1]
420,2022-02-28,"[3, 5]"
421,2022-03-01,"[3, 5, 2]"
422,2022-03-02,"[3, 5]"
423,2022-03-03,[3]
424,2022-03-04,"[1, 3]"
425,2022-03-05,"[5, 4, 3]"
426,2022-03-06,[1]
427,2022-03-07,"[3, 1, 4]"
428,2022-03-08,[3]
429,2022-03-09,"[4, 3, 2]"
430,2022-03-10,"[4, 5]"
431,2022-03-11,[2]
432,2022-03-12,"[3, 4]"
433,2022-03-13,[1]
434,2022-03-14,[5]
435,2022-03-15,"[2, 5, 1]"
436,2022-03-16,[3]
437,2022-03-17,"[2, 5]"
438,2022-03-18,"[3, 4]"
439,2022-03-19,"[4, 1, 2]"
440,2022-03-20,[1]
441,2022-03-21,"[1, 4, 2]"
442,2022-03-22,[4]
443,2022-03-23,[2]
444,2022-03-24,"[2, 3, 4]"
445,2022-03-25,"[4, 1]"
446,2022-03-26,[5]
447,2022-03-27,[1]
448,2022-03-28,[3]
449,2022-03-29,"[2, 3, 5]"
450,2022-03-30,"[5, 3]"
451,2022-03-31,[2]
452,2022-04-01,"[1, 5]"
453,2022-04-02,"[2, 4, 3]"
454,2022-04-03,[1]
455,2022-04-04,"[4, 1]"
456,2022-04-05,[2]
457,2022-04-06,[5]
458,2022-04-07,"[4, 5, 3]"
459,2022-04-08,"[3, 1, 5]"
460,2022-04-09,"[5, 3]"
461,2022-04-10,[1]
462,2022-04-11,"[2, 4, 5]"
463,2022-04-12,"[2, 5]"
464,2022-04-13,[3]
465,2022-04-14,"[4, 1, 2]"
466,2022-04-15,"[5, 4]"
467,2022-04-16,[2]
468,2022-04-17,[1]
469,2022-04-18,[5]
470,2022-04-19,"[4, 1]"
471,2022-04-20,"[2, 5, 4]"
472,2022-04-21,[1]
473,2022-04-22,"[2, 3, 4]"
474,2022-04-23,[4]
475,2022-04-24,[1]
476,2022-04-25,"[3, 4]"
477,2022-04-26,"[4, 3]"
478,2022-04-27,"[2, 1]"
479,2022-04-28,"[1, 4]"
480,2022-04-29,"[3, 4, 1]"
481,2022-04-30,"[2, 5]"
482,2022-05-01,[1]
483,2022-05-02,[3]
484,2022-05-03,[2]
485,2022-05-04,"[2, 4]"
486,2022-05-05,"[2, 5]"
487,2022-05-06,"[4, 2, 3]"
488,2022-05-07,[3]
489,2022-05-08,[1]
490,2022-05-09,"[2, 1]"
491,2022-05-10,"[3, 1]"
492,2022-05-11,"[1, 2, 4]"
493,2022-05-12,"[5, 2, 4]"
494,2022-05-13,"[2, 4, 3]"
495,2022-05-14,"[1, 5, 4]"
496,2022-05-15,[1]
497,2022-05-16,"[4, 1, 5]"
498,2022-05-17,"[1, 5, 4]"
499,2022-05-18,"[1, 3, 2]"
500,2022-05-19,"[2, 5, 3]"
501,2022-05-20,[5]
502,2022-05-21,"[1, 4]"
503,2022-05-22,[1]
504,2022-05-23,[5]
505,2022-05-24,"[5, 4, 1]"
506,2022-05-25,"[5, 3, 2]"
507,2022-05-26,[2]
508,2022-05-27,[3]
509,2022-05-28,[5]
510,2022-05-29,[1]
511,2022-05-30,"[3, 5]"
512,2022-05-31,"[4, 2]"
513,2022-06-01,"[4, 1, 5]"
514,2022-06-02,[2]
515,2022-06-03,[5]
516,2022-06-04,"[3, 4, 1]"
517,2022-06-05,[1]
518,2022-06-06,"[3, 1, 2]"
519,2022-06-07,[4]
520,2022-06-08,"[3, 1]"
521,2022-06-09,[5]
522,2022-06-10,[5]
523,2022-06-11,"[4, 2]"
524,2022-06-12,[1]
525,2022-06-13,"[5, 3]"
526,2022-06-14,"[2, 5]"
527,2022-06-15,"[2, 3, 4]"
528,2022-06-16,"[3, 4, 2]"
529,2022-06-17,"[4, 5, 2]"
530,2022-06-18,"[1, 2]"
531,2022-06-19,[1]
532,2022-06-20,"[2, 4, 1]"
533,2022-06-21,[4]
534,2022-06-22,"[2, 3, 5]"
535,2022-06-23,"[3, 2]"
536,2022-06-24,"[4, 1]"
537,2022-06-25,"[3, 4, 2]"
538,2022-06-26,[1]
539,2022-06-27,"[1, 5]"
540,2022-06-28,[3]
541,2022-06-29,"[5, 2]"
542,2022-06-30,[1]
543,2022-07-01,"[4, 2]"
544,2022-07-02,"[3, 4]"
545,2022-07-03,[1]
546,2022-07-04,"[3, 2]"
547,2022-07-05,[4]
548,2022-07-06,"[2, 1]"
549,2022-07-07,"[5, 3, 1]"
550,2022-07-08,[2]
551,2022-07-09,"[1, 5, 2]"
552,2022-07-10,[1]
553,2022-07-11,[2]
554,2022-07-12,"[1, 3, 2]"
555,2022-07-13,"[1, 4, 3]"
556,2022-07-14,"[5, 3]"
557,2022-07-15,[5]
558,2022-07-16,"[3, 2]"
559,2022-07-17,[1]
560,2022-07-18,"[3, 5]"
561,2022-07-19,"[2, 5, 3]"
562,2022-07-20,"[2, 1]"
563,2022-07-21,"[1, 5, 4]"
564,2022-07-22,"[3, 4]"
565,2022-07-23,"[2, 3, 1]"
566,2022-07-24,[1]
567,2022-07-25,[1]
568,2022-07-26,[5]
569,2022-07-27,"[3, 5, 4]"
570,2022-07-28,[1]
571,2022-07-29,[5]
572,2022-07-30,"[1, 2, 3]"
573,2022-07-31,[1]
574,2022-08-01,"[5, 1]"
575,2022-08-02,[1]
576,2022-08-03,[4]
577,2022-08-04,[2]
578,2022-08-05,"[3, 1]"
579,2022-08-06,"[5, 4, 2]"
580,2022-08-07,[1]
581,2022-08-08,"[5, 4]"
582,2022-08-09,"[5, 4]"
583,2022-08-10,[2]
584,2022-08-11,[4]
585,2022-08-12,[2]
586,2022-08-13,"[1, 2, 4]"
587,2022-08-14,[1]
588,2022-08-15,[2]
589,2022-08-16,[1]
590,2022-08-17,"[5, 3]"
591,2022-08-18,"[2, 3]"
592,2022-08-19,[5]
593,2022-08-20,"[5, 4, 2]"
594,2022-08-21,[1]
595,2022-08-22,[2]
596,2022-08-23,[5]
597,2022-08-24,"[3, 2, 5]"
598,2022-08-25,[5]
599,2022-08-26,"[2, 5, 1]"
600,2022-08-27,[4]
601,2022-08-28,[1]
602,2022-08-29,[5]
603,2022-08-30,"[2, 3]"
604,2022-08-31,"[3, 4]"
605,2022-09-01,"[2, 1, 5]"
606,2022-09-02,"[5, 2, 4]"
607,2022-09-03,[3]
608,2022-09-04,[1]
609,2022-09-05,"[5, 2, 4]"
610,2022-09-06,"[1, 2, 3]"
611,2022-09-07,"[3, 5, 1]"
612,2022-09-08,"[4, 3, 1]"
613,2022-09-09,"[1, 3]"
614,2022-09-10,"[4, 3]"
615,2022-09-11,[1]
616,2022-09-12,[2]
617,2022-09-13,"[4, 2, 1]"
618,2022-09-14,"[3, 2, 5]"
619,2022-09-15,"[1, 3, 5]"
620,2022-09-16,"[4, 2]"
621,2022-09-17,"[3, 5, 4]"
622,2022-09-18,[1]
623,2022-09-19,"[3, 2]"
624,2022-09-20,"[4, 1]"
625,2022-09-21,"[5, 4]"
626,2022-09-22,"[2, 4, 1]"
627,2022-09-23,"[5, 2, 3]"
628,2022-09-24,"[3, 4]"
629,2022-09-25,[1]
630,2022-09-26,"[5, 4, 2]"
631,2022-09-27,"[1, 4, 2]"
632,2022-09-28,[4]
633,2022-09-29,[1]
634,2022-09-30,"[1, 5, 2]"
635,2022-10-01,[2]
636,2022-10-02,[1]
637,2022-10-03,"[3, 4, 5]"
638,2022-10-04,"[4, 3]"
639,2022-10-05,"[5, 3, 1]"
640,2022-10-06,[5]
641,2022-10-07,"[5, 4, 2]"
642,2022-10-08,"[2, 5]"
643,2022-10-09,[1]
644,2022-10-10,"[3, 1, 4]"
645,2022-10-11,"[3, 5]"
646,2022-10-12,[2]
647,2022-10-13,[1]
648,2022-10-14,"[1, 5, 2]"
649,2022-10-15,"[1, 5]"
650,2022-10-16,[1]
651,2022-10-17,"[2, 1, 3]"
652,2022-10-18,"[3, 1]"
653,2022-10-19,"[2, 4, 5]"
654,2022-10-20,"[5, 1, 4]"
655,2022-10-21,"[5, 2]"
656,2022-10-22,[3]
657,2022-10-23,[1]
658,2022-10-24,"[3, 1, 4]"
659,2022-10-25,"[5, 4]"
660,2022-10-26,[2]
661,2022-10-27,"[5, 2]"
662,2022-10-28,"[5, 3]"
663,2022-10-29,"[2, 5]"
664,2022-10-30,[1]
665,2022-10-31,"[1, 4, 5]"
666,2022-11-01,"[5, 3, 1]"
667,2022-11-02,"[5, 2]"
668,2022-11-03,"[1, 4]"
669,2022-11-04,"[5, 2, 1]"
670,2022-11-05,"[1, 3, 5]"
671,2022-11-06,[1]
672,2022-11-07,"[4, 5]"
673,2022-11-08,"[2, 3]"
674,2022-11-09,"[5, 4, 2]"
675,2022-11-10,[2]
676,2022-11-11,"[2, 5]"
677,2022-11-12,"[4, 5]"
678,2022-11-13,[1]
679,2022-11-14,"[5, 2]"
680,2022-11-15,"[2, 5]"
681,2022-11-16,"[4, 3]"
682,2022-11-17,[4]
683,2022-11-18,"[1, 3, 2]"
684,2022-11-19,"[2, 5, 1]"
685,2022-11-20,[1]
686,2022-11-21,"[2, 5, 4]"
687,2022-11-22,"[4, 2, 1]"
688,2022-11-23,"[2, 5]"
689,2022-11-24,"[1, 4]"
690,2022-11-25,[2]
691,2022-11-26,[1]
692,2022-11-27,[1]
693,2022-11-28,"[3, 2]"
694,2022-11-29,"[5, 1]"
695,2022-11-30,[4]
696,2022-12-01,"[1, 3]"
697,2022-12-02,[5]
698,2022-12-03,[4]
699,2022-12-04,[1]
700,2022-12-05,"[5, 4]"
701,2022-12-06,"[5, 2, 3]"
702,2022-12-07,[1]
703,2022-12-08,"[5, 3]"
704,2022-12-09,"[3, 1, 4]"
705,2022-12-10,"[2, 4]"
706,2022-12-11,[1]
707,2022-12-12,"[2, 4]"
708,2022-12-13,[1]
709,2022-12-14,"[1, 3]"
710,2022-12-15,"[2, 5]"
711,2022-12-16,"[5, 2]"
712,2022-12-17,"[3, 4]"
713,2022-12-18,[1]
714,2022-12-19,[5]
715,2022-12-20,[3]
716,2022-12-21,"[1, 4, 2]"
717,2022-12-22,"[5, 1, 4]"
718,2022-12-23,[5]
719,2022-12-24,"[2, 4]"
720,2022-12-25,[1]
721,2022-12-26,[1]
722,2022-12-27,"[3, 4, 1]"
723,2022-12-28,[4]
724,2022-12-29,"[3, 4, 5]"
725,2022-12-30,[2]
726,2022-12-31,"[5, 2, 1]"
727,2023-01-01,[1]
728,2023-01-02,[3]
729,2023-01-03,"[4, 1]"
730,2023-01-04,"[5, 3]"
731,2023-01-05,"[4, 3, 1]"
732,2023-01-06,"[4, 2, 1]"
733,2023-01-07,"[3, 2]"
734,2023-01-08,[1]
735,2023-01-09,"[5, 4, 1]"
736,2023-01-10,"[3, 1, 2]"
737,2023-01-11,[5]
738,2023-01-12,[2]
739,2023-01-13,"[3, 5]"
740,2023-01-14,"[2, 3, 5]"
741,2023-01-15,[1]
742,2023-01-16,[5]
743,2023-01-17,[1]
744,2023-01-18,"[1, 4]"
745,2023-01-19,[4]
746,2023-01-20,[3]
747,2023-01-21,[5]
748,2023-01-22,[1]
749,2023-01-23,[4]
750,2023-01-24,"[5, 4, 3]"
751,2023-01-25,"[5, 2, 1]"
752,2023-01-26,"[4, 2]"
753,2023-01-27,"[3, 5, 2]"
754,2023-01-28,"[1, 2, 3]"
755,2023-01-29,[1]
756,2023-01-30,"[3, 5, 1]"
757,2023-01-31,"[2, 4, 3]"
758,2023-02-01,"[3, 2]"
759,2023-02-02,[4]
760,2023-02-03,[4]
761,2023-02-04,[3]
762,2023-02-05,[1]
763,2023-02-06,[3]
764,2023-02-07,"[1, 5]"
765,2023-02-08,"[3, 2, 1]"
766,2023-02-09,"[3, 2, 5]"
767,2023-02-10,[4]
768,2023-02-11,"[5, 2, 1]"
769,2023-02-12,[1]
770,2023-02-13,"[2, 3]"
771,2023-02-14,[3]
772,2023-02-15,"[3, 1, 5]"
773,2023-02-16,[4]
774,2023-02-17,"[4, 3, 2]"
775,2023-02-18,[1]
776,2023-02-19,[1]
777,2023-02-20,[1]
778,2023-02-21,"[4, 3, 5]"
779,2023-02-22,"[5, 1, 4]"
780,2023-02-23,"[4, 3, 5]"
781,2023-02-24,"[1, 2]"
782,2023-02-25,[2]
783,2023-02-26,[1]
784,2023-02-27,"[4, 5, 1]"
785,2023-02-28,"[5, 1]"
786,2023-03-01,"[2, 3, 5]"
787,2023-03-02,"[4, 5, 1]"
788,2023-03-03,"[2, 3]"
789,2023-03-04,"[3, 2]"
790,2023-03-05,[1]
791,2023-03-06,[4]
792,2023-03-07,[3]
793,2023-03-08,"[4, 1]"
794,2023-03-09,"[1, 5]"
795,2023-03-10,"[3, 5]"
796,2023-03-11,"[3, 5]"
797,2023-03-12,[1]
798,2023-03-13,"[5, 3, 2]"
799,2023-03-14,[1]
800,2023-03-15,[4]
801,2023-03-16,"[5, 2]"
802,2023-03-17,[3]
803,2023-03-18,[5]
804,2023-03-19,[1]
805,2023-03-20,[1]
806,2023-03-21,"[5, 3, 2]"
807,2023-03-22,[2]
808,2023-03-23,"[1, 3]"
809,2023-03-24,[1]
810,2023-03-25,"[1, 4, 3]"
811,2023-03-26,[1]
812,2023-03-27,"[3, 4, 1]"
813,2023-03-28,"[4, 1]"
814,2023-03-29,"[2, 3, 5]"
815,2023-03-30,[4]
816,2023-03-31,"[4, 3]"
817,2023-04-01,"[1, 3]"
818,2023-04-02,[1]
819,2023-04-03,[2]
820,2023-04-04,"[3, 4]"
821,2023-04-05,[3]
822,2023-04-06,"[3, 5]"
823,2023-04-07,"[4, 3, 1]"
824,2023-04-08,"[4, 2, 1]"
825,2023-04-09,[1]
826,2023-04-10,"[2, 1, 4]"
827,2023-04-11,"[2, 3]"
828,2023-04-12,[3]
829,2023-04-13,[2]
830,2023-04-14,"[4, 5, 3]"
831,2023-04-15,"[4, 2]"
832,2023-04-16,[1]
833,2023-04-17,"[2, 5]"
834,2023-04-18,"[4, 3, 2]"
835,2023-04-19,"[5, 1, 2]"
836,2023-04-20,"[5, 3, 1]"
837,2023-04-21,"[5, 1]"
838,2023-04-22,"[1, 4]"
839,2023-04-23,[1]
840,2023-04-24,[3]
841,2023-04-25,"[1, 5]"
842,2023-04-26,"[2, 3]"
843,2023-04-27,[3]
844,2023-04-28,"[4, 2]"
845,2023-04-29,"[5, 3]"
846,2023-04-30,[1]
847,2023-05-01,"[2, 4]"
848,2023-05-02,"[2, 3, 4]"
849,2023-05-03,[5]
850,2023-05-04,"[2, 4]"
851,2023-05-05,"[5, 4, 1]"
852,2023-05-06,"[2, 5, 4]"
853,2023-05-07,[1]
854,2023-05-08,"[3, 2, 4]"
855,2023-05-09,"[3, 5]"
856,2023-05-10,[4]
857,2023-05-11,[4]
858,2023-05-12,[1]
859,2023-05-13,"[2, 1]"
860,2023-05-14,[1]
861,2023-05-15,[4]
862,2023-05-16,[5]
863,2023-05-17,[5]
864,2023-05-18,"[2, 5, 1]"
865,2023-05-19,"[5, 3, 1]"
866,2023-05-20,"[3, 2, 5]"
867,2023-05-21,[1]
868,2023-05-22,[1]
869,2023-05-23,"[5, 1, 3]"
870,2023-05-24,"[1, 5, 3]"
